"id","gender","age","citizenship","previous_offences","kpp","kpw","counts"
"OIO-1000265W","M",45,"POLAND","No cirminal history","SC KPP Łobez","SC KWP Szczecin",1
"OIO-100034185K","M",41,"POLAND","No cirminal history","WR KMP Wałbrzych","WR KWP Wrocław",1
"OIO-100070123D","M",56,"POLAND","No cirminal history","KA KPP Lubliniec","KA KWP Katowice",1
"OIO-100076158J","M",34,"POLAND","Simmilar offences","PO KMP Konin","PO KWP Poznań",1
"OIO-1000802D","M",46,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1000853E","M",55,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-100120093X","M",29,"POLAND","No knowledge","PO KPP Jarocin","PO KWP Poznań",1
"OIO-100131099M","M",69,"POLAND","Simmilar offences","LD KPP Tomaszów Maz.","LD KWP Łódź",1
"OIO-100139231N","M",31,"POLAND","Different offences","WA KPP Legionowo (KSP)","WA KSP Warszawa",1
"OIO-100152096X","M",27,"POLAND","Simmilar offences","WA KRP Warszawa VII (KSP)","WA KSP Warszawa",1
"OIO-100186135E","M",38,"POLAND","No cirminal history","GD KPP Kwidzyn","GD KWP Gdańsk",1
"OIO-10020007W","M",38,"POLAND","Simmilar offences","RZ KMP Przemyśl","RZ KWP Rzeszów",1
"OIO-10020570P","M",37,"POLAND","Different offences","KK KMP Kraków","KK KWP Kraków",1
"OIO-10020603N","M",37,"POLAND","No knowledge","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-100207129P","M",40,"POLAND","No cirminal history","PO KPP Ostrów Wlkp.","PO KWP Poznań",1
"OIO-10022333L","M",34,"POLAND","No knowledge","LU KMP Chełm","LU KWP Lublin",1
"OIO-10022917K","M",39,"POLAND","No cirminal history","SC KPP Gryfino","SC KWP Szczecin",1
"OIO-10023058W","M",38,"POLAND","Simmilar offences","LD KMP Skierniewice","LD KWP Łódź",1
"OIO-1002312Y","M",60,"POLAND","No cirminal history","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-10024830G","M",55,"POLAND","No knowledge","KK KPP Kraków Okolice","KK KWP Kraków",1
"OIO-10024866J","M",57,"POLAND","No knowledge","LD KMP Łódź","LD KWP Łódź",1
"OIO-10024970J","M",34,"","No knowledge","KK KMP Kraków","KK KWP Kraków",1
"OIO-10025327D","M",54,"POLAND","No knowledge","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-10025727J","M",35,"POLAND","No knowledge","GD KMP Gdańsk","GD KWP Gdańsk",1
"OIO-10025972R","M",36,"POLAND","No cirminal history","BG KPP Świecie nad Wisłą","BG KWP Bydgoszcz",1
"OIO-10026506E","M",41,"POLAND","Simmilar offences","KA KPP Myszków","KA KWP Katowice",1
"OIO-100279228H","M",34,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-10027960C","M",46,"POLAND","No knowledge","WA KMP Radom","WA KWP Radom",1
"OIO-10028107W","M",40,"POLAND","No knowledge","LU KPP Puławy","LU KWP Lublin",1
"OIO-10029067Q","M",61,"POLAND","No cirminal history","OL KPP Pisz","OL KWP Olsztyn",1
"OIO-1003189F","M",56,"POLAND","Different offences","SC KPP Stargard","SC KWP Szczecin",1
"OIO-100351111W","M",68,"POLAND","No knowledge","LU KPP Krasnystaw","LU KWP Lublin",1
"OIO-100370256U","M",36,"POLAND","No knowledge","WA KMP Płock","WA KWP Radom",1
"OIO-100390124G","M",53,"POLAND","No cirminal history","KK KPP Wieliczka","KK KWP Kraków",1
"OIO-100431159Q","M",37,"POLAND","Simmilar offences","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1004534R","M",44,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-100455093G","M",38,"POLAND","No cirminal history","WA KMP Radom","WA KWP Radom",1
"OIO-1004669256Y","M",30,"POLAND","No cirminal history","KA KMP Piekary Śląskie","KA KWP Katowice",1
"OIO-1004669282L","M",30,"POLAND","No cirminal history","WA KMP Płock","WA KWP Radom",1
"OIO-100471196G","M",36,"POLAND","Different offences","WA KPP Białobrzegi","WA KWP Radom",1
"OIO-1004886F","M",45,"POLAND","No cirminal history","SC KPP Łobez","SC KWP Szczecin",1
"OIO-100516096G","M",36,"POLAND","Different offences","PO KPP Chodzież","PO KWP Poznań",1
"OIO-1005386P","M",49,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1005420Y","M",43,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1005869883C","M",43,"POLAND","No cirminal history","KK KPP Zakopane","KK KWP Kraków",1
"OIO-1006069067U","M",30,"POLAND","No knowledge","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-1006111F","M",73,"POLAND","No cirminal history","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-100615097Q","M",36,"POLAND","Simmilar offences","WA KPP Płońsk","WA KWP Radom",1
"OIO-1006569296F","M",27,"POLAND","No knowledge","GD KMP Sopot","GD KWP Gdańsk",1
"OIO-100659143N","M",47,"POLAND","No cirminal history","KI KMP Kielce","KI KWP Kielce",1
"OIO-100668169C","M",44,"POLAND","Simmilar offences","WA KPP Gostynin","WA KWP Radom",1
"OIO-1006744T","M",54,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-100685244D","M",34,"POLAND","Simmilar offences","OL KPP Kętrzyn","OL KWP Olsztyn",1
"OIO-1006961Q","M",45,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",2
"OIO-1006961Q","M",45,"POLAND","Simmilar offences","SC KMP Szczecin","SC KWP Szczecin",2
"OIO-1007031E","M",62,"POLAND","No cirminal history","SC KPP Gryfino","SC KWP Szczecin",1
"OIO-1008181F","M",59,"POLAND","No cirminal history","SC KPP Police","SC KWP Szczecin",1
"OIO-100820127L","M",65,"POLAND","No cirminal history","KK KPP Bochnia","KK KWP Kraków",1
"OIO-100825282R","M",41,"POLAND","No knowledge","KA KMP Rybnik","KA KWP Katowice",1
"OIO-100847144P","M",37,"POLAND","Different offences","LD KPP Łask","LD KWP Łódź",1
"OIO-100851154R","M",35,"POLAND","No cirminal history","KA KPP Myszków","KA KWP Katowice",1
"OIO-100868107J","M",31,"POLAND","No knowledge","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-1008737X","M",63,"POLAND","Different offences","SC KPP Łobez","SC KWP Szczecin",1
"OIO-10088785H","M",62,"POLAND","No knowledge","GO KPP Słubice","GO KWP Gorzów Wlkp.",1
"OIO-10088841W","M",45,"POLAND","Different offences","GO KMP Zielona Góra","GO KWP Gorzów Wlkp.",1
"OIO-10089537N","K",52,"POLAND","No knowledge","KA KMP Piekary Śląskie","KA KWP Katowice",1
"OIO-10089989L","M",57,"POLAND","No cirminal history","WA KRP Warszawa IV (KSP)","WA KSP Warszawa",1
"OIO-10090173G","M",73,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1009179M","M",45,"POLAND","Simmilar offences","SC KPP Stargard","SC KWP Szczecin",1
"OIO-10092055J","M",40,"POLAND","Simmilar offences","KA KMP Tychy","KA KWP Katowice",1
"OIO-10092100U","M",36,"POLAND","Different offences","KA KMP Mysłowice","KA KWP Katowice",1
"OIO-10092654H","M",34,"POLAND","Simmilar offences","WA KRP Warszawa VI (KSP)","WA KSP Warszawa",1
"OIO-100927272X","M",36,"POLAND","No knowledge","WA KPP Maków Maz.","WA KWP Radom",1
"OIO-100930153M","M",50,"POLAND","No cirminal history","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-10093389T","M",38,"POLAND","Simmilar offences","LU KPP Parczew","LU KWP Lublin",1
"OIO-10093439X","M",53,"POLAND","No cirminal history","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-10093681E","M",37,"POLAND","Different offences","KA KPP Żywiec","KA KWP Katowice",1
"OIO-1009405D","M",51,"POLAND","No knowledge","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-10095128G","M",39,"POLAND","No knowledge","WR KPP Lubań","WR KWP Wrocław",1
"OIO-10096847A","M",37,"POLAND","No knowledge","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-10097037P","M",44,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-10097537W","M",48,"POLAND","Different offences","GD KPP Starogard Gd.","GD KWP Gdańsk",1
"OIO-10098047C","M",46,"POLAND","No cirminal history","PO KPP Piła","PO KWP Poznań",1
"OIO-10098536Y","M",41,"POLAND","Simmilar offences","LD KPP Łask","LD KWP Łódź",1
"OIO-1009856U","M",61,"POLAND","Simmilar offences","SC KPP Gryfice","SC KWP Szczecin",1
"OIO-100986096T","M",35,"POLAND","No cirminal history","KA KMP Zabrze","KA KWP Katowice",1
"OIO-10099322M","M",52,"POLAND","No knowledge","BG KPP Lipno","BG KWP Bydgoszcz",1
"OIO-10101932X","M",41,"POLAND","No cirminal history","LU KPP Tomaszów Lubelski","LU KWP Lublin",1
"OIO-10102301E","M",55,"POLAND","No cirminal history","LD KPP Zgierz","LD KWP Łódź",1
"OIO-10103422U","M",35,"POLAND","Different offences","WA KMP Radom","WA KWP Radom",1
"OIO-1010421Q","M",70,"POLAND","No cirminal history","SC KPP Stargard","SC KWP Szczecin",1
"OIO-1010569060F","M",54,"POLAND","Simmilar offences","KK KPP Wadowice","KK KWP Kraków",1
"OIO-1010622F","M",60,"POLAND","No knowledge","SC KPP Stargard","SC KWP Szczecin",1
"OIO-1010862H","K",63,"POLAND","Simmilar offences","SC KPP Kamień Pomorski","SC KWP Szczecin",1
"OIO-101101116Y","M",42,"POLAND","No knowledge","WA KPP Piaseczno (KSP)","WA KSP Warszawa",1
"OIO-101155134K","M",46,"POLAND","No cirminal history","WR KPP Oława","WR KWP Wrocław",1
"OIO-1011727G","M",42,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-101182156D","M",35,"POLAND","No knowledge","GD KMP Gdańsk","GD KWP Gdańsk",1
"OIO-1012071Q","M",62,"POLAND","No cirminal history","SC KPP Pyrzyce","SC KWP Szczecin",1
"OIO-1012367K","M",48,"POLAND","No cirminal history","SC KPP Łobez","SC KWP Szczecin",1
